Ticker,Current Quarter EPS,Current Quarter Revenue,Estimated EPS,Estimated Revenue
SE,0.59,5986024000,0.87519,5630735230
AU,1.32,2373000000,1.37,2532800000
NBIS,-0.55,146100000,-0.556667,155108000
OKLO,-0.2,0,-0.134997,0
FRMI,-0.84,11885000,-0.022892,11885000
DDS,4.66,1536000000,3.763501,1499926468
DOX,1.83,1150218000,1.82262,1146027305
VFS,-0.35,662993334,-0.2575,666724575
PHVS,-0.9777317,0,-0.9027761963000001,0
ZBIO,-1.25,0,-1.038,3750000
NMM,2.15,327558000,1.77,296000000
FLNG,0.46,86000000,0.391433,82191250
ORIC,-0.47,0,-0.443,0
ELVN,-0.49,0,-0.536822,0
SFL,0.088072,178207000,-0.016667,173733333
ABUS,0.01,10739000,-0.0475,1591000
PVLA,-1.03,0,-0.838492,0
SVRA,-0.14,0,-0.12,0
AGRO,-0.170312,405657162,0.258515,402000000
MDRX,0.07,146500000,0.07,145600000
GILT,0.21,105000000,0.03,100085000
SMWB,0.05,71789000,0.01713,71949159
ERAS,-0.12,0,-0.115535,0
NUTX,-0.31,244000000,-1.476667,176474813
SRDX,0.06,29567000,-0.185,28055000
SMLR,5.04,8217000.000000001,-0.22,8400667
AII,0.71,239100000,0.635,205245667
DAVA,0.20163,239518965.4,0.24481780180000004,244716762.31860003
OMER,-0.43,0,-0.502775,312500
KOPN,-0.03,8454883,-0.013333,10571000
CODI,,,0.57,502147557
XOMA,0.44,13129000,-0.15,9387500
CCRN,-0.01,274072000,0.057172,292312615
HYLN,-0.08,759000,-0.085,1650000
CDZI,-0.11,4099999.9999999995,-0.09,3900000
LPTH,-0.07,15100000,-0.0675,12663750
LYEL,-2.89,8000,-3.52,4000
MVIS,-0.06,155000,-0.06375,600000
PEPG,-0.7,0,-0.84618,0
SPIR,-0.48,19182000,-0.44,18592075
CADL,-0.09,0,-0.1637,0
STXS,-0.026083,7464000,-0.06,8375000
SRG,,,,63200000
SI,-0.64,11756000,-0.31342,9870900
MLCI,-0.12,21202000,0.09,26150000
NXXT,-0.3,19691568,,
FENC,-0.11142438449999999,9776983.118499998,-0.0348542285,9625363.955999998
VGZ,-0.02,,,
IMPP,0.38,36348819,0.0427,29717500
CRBU,-0.35,2667000,-0.4025,1740000
HSDT,-79.73,43000,-128.5,75000
CRNT,0.02,85484000,0.030225,83476980
GIFI,-0.04,37538000,0.0546,35500000
UPXI,0.76,9239745,0.01,9156000
RILY,,,,
NEOV,-0.04,6650258,-0.04,2600000
VTDRF,,,,
EPM,0.02,21288000,0,21733333
ELTX,-0.66,0,-0.685,0
SAVA,-0.92,0,,
STEX,,,-0.04,0
BTCS,0.14,2772198,-0.07,1700000
MBOT,-0.1,0,-0.08,0
ENTX,-0.06,,-0.11,0
AVR,-0.58,618000,-0.545,400000
APLT,-0.15,0,-0.165,416667
FATE,-0.29,1907000,-0.350833,864255
CRBP,-1.44,0,-1.495744,0
QUIK,-0.19,2029000,-0.205,2049999.9999999998
GLSI,-0.3,0,-0.24,0
FEAM,-16.75,,-0.66,0
YTRA,0.01,24471000,-0.006793,
SND,0.54,85770000,-0.03,60000000
GANX,-0.19,0,-0.166667,0
IMA,-0.8088,-1000000,-0.33,0
CLNN,-0.78,27000,-0.473333,65400
ANEB,-0.05,0,-0.065,0
MGNX,-0.57,22241000,-0.423333,31669400
ULBI,0.05,48561000,0.13,51000000
ADVM,-2.34,0,-2.246667,0
XBIT,,,0.02,7000000
ATLX,-0.51,,-0.51,24000000
SLGL,4.17,17261000,-0.67,2857800
DOMH,7.27,50821000,,
RRTS,,,-0.13,135000000
TSPH,,,-0.07,569800000
KLRS,-0.61,0,-0.46,0
PZG,,,-0.02,0
MGX,-0.55,8659000,-0.58448,7822600
MEHCQ,,,,
LINK,0,3414000,-0.053333,2800000
RPTX,-0.39,250000,-0.5594,5000000
TISI,,,,
PMVP,-0.41,0,-0.383333,0
TCRX,-0.28,3076000,-0.327143,1305000
FORA,0.02,7476000,0.01,7165700
DWSN,,,,
ACRV,-0.55,0,-0.567778,0
WFCF,,,,
CMBM,,,-0.01,49500000
PODC,-0.04,15156000,-0.045,14262500
GGR,-1.01,77647000,,
LOCL,-1.63,12103000,-1.295,12400000
IOBT,-0.4,0,-0.356,0
PETS,-0.07,,-0.02,69311000
ANVS,-0.32,0,-0.4025,0
GOCO,-5.1,94048000,-2.5003,110497317
SPRU,-0.04,30727000,,22700000
MDAI,-0.13,3792000,-0.085,5000000
CUE,-0.09,2954000,-0.13,2000000
TLIS,,,-7.03,0
WAVE,-0.13,0,-0.13,100000
FTHM,-0.15,115313000,-0.1,102120000
KZR,-1.87,0,-2.2364,0
CALC,-0.4,0,-0.35,0
MRSN,-4.87,3056000,-3.865,6189375
XLO,-0.16,8090000,-0.0788,8210000.000000001
LNZA,-15,9084000,-15,9000000
FEMY,-0.16,409268,-0.163333,1024667
PXLW,-0.69,8771000,-0.86,9000000
TVRD,-1,0,-0.683067,0
MHGU,,154600000,0.46,173100000
SBNY,,,4.7025,
EDRY,-1.1,11278023,-1.35,10734000
ACCS,0.2,5723000,0.115,5676500
ZYXI,-0.66,22290000,-0.196667,27375167
INTZ,-0.1,1873000,-0.09,1800000
VRCA,0.02,12702000,-0.9,4266667
PLUR,,,-0.73,400000
ANTX,-0.21,0,-0.335,0
CYN,-2.7,33726,-2.74,900000
QTTB,-0.78,0,-0.9783,0
KLNG,,,0.02,
HIND,-0.07,249000,,
POAI,-3.3,2682,-1.35,1500000
PSHG,0.23,18143000,0.1865,17136300
SCNX,,,,
